ZB=F,EUR=X,CHFUSD,GLD
111.4375,0.73768,0.822436,67.49
111.84375,0.73589,0.826651,68.19
111.9375,0.73529,0.825355,68.25
111.84375,0.7385,0.820951,67.88
111.34375,0.73926,0.820479,67.45
111.5625,0.74167,0.819807,66.0
111.3125,0.73959,0.820951,66.45
111.125,0.73839,0.820614,66.28
110.875,0.73551,0.823228,66.54
110.9375,0.73943,0.818197,65.6
110.4375,0.74091,0.814916,65.06
109.9375,0.74003,0.814996,65.52
110.09375,0.74261,0.813074,65.67
109.59375,0.74338,0.813206,65.2
109.25,0.74305,0.814664,65.54
109.28125,0.7446,0.814664,64.75
109.25,0.74349,0.815062,64.94
109.09375,0.74372,0.816326,65.07
109.15625,0.74449,0.815794,64.72
109.15625,0.74316,0.81626,65.54
108.53125,0.74394,0.809192,66.44
108.9375,0.74118,0.817862,66.54
108.4375,0.73964,0.821018,66.37
108.375,0.74113,0.821895,66.41
107.03125,0.74471,0.81706,65.26
106.875,0.7485,0.809913,64.22
106.71875,0.74873,0.807689,64.7
105.5625,0.75154,0.805283,64.1
106.1875,0.75131,0.803859,64.53
106.03125,0.75098,0.802504,64.6
106.40625,0.74744,0.805218,64.85
106.625,0.74538,0.805412,64.95
107.1875,0.74493,0.806322,65.48
106.78125,0.74649,0.807494,64.71
106.125,0.7466,0.805672,64.56
106.375,0.74234,0.813537,64.78
107.03125,0.7425,0.814399,64.43
106.78125,0.74355,0.813935,63.62
107.125,0.74322,0.813537,63.67
106.78125,0.74366,0.812084,64.26
107.75,0.73877,0.818666,64.27
108.03125,0.73341,0.826856,65.02
107.5,0.73465,0.822517,64.74
106.5625,0.73535,0.82149,64.42
106.09375,0.73368,0.821288,64.96
106.46875,0.734,0.822098,65.38
107.65625,0.72674,0.832501,65.61
107.1875,0.72706,0.830082,65.44
106.84375,0.72527,0.830979,66.02
106.96875,0.72543,0.83167,66.03
107.71875,0.72585,0.83167,65.82
107.28125,0.72516,0.832986,65.75
107.96875,0.72427,0.832986,66.62
107.78125,0.72474,0.830703,67.01
108.40625,0.72286,0.832986,67.58
108.375,0.72438,0.828995,67.47
108.46875,0.72333,0.831324,67.47
108.875,0.72854,0.824131,66.9
109.90625,0.72727,0.831255,65.65
109.78125,0.73335,0.824538,65.41
109.625,0.72929,0.831297,65.77
110.0625,0.73142,0.832431,65.79
110.0625,0.73115,0.83091,65.93
110.21875,0.72955,0.831048,65.89
110.625,0.72532,0.841822,66.69
110.1875,0.7248,0.838926,66.52
110.1875,0.72775,0.835422,66.48
108.9375,0.72448,0.83654,66.77
109.125,0.73131,0.835562,65.46
109.3125,0.73051,0.833889,66.57
109.46875,0.73459,0.830082,66.26
109.8125,0.73883,0.826105,66.29
109.5625,0.74471,0.820614,66.13
110.59375,0.74488,0.821828,64.68
109.84375,0.74107,0.829807,65.01
110.25,0.74212,0.829187,65.12
110.625,0.74322,0.828706,65.07
110.375,0.73801,0.828912,65.4
110.6875,0.73763,0.828226,65.31
110.84375,0.73169,0.830841,66.11
111.34375,0.73325,0.831808,65.98
111.625,0.73535,0.832501,65.59
111.46875,0.73131,0.833889,66.07
112.09375,0.73303,0.83091,65.8
111.78125,0.73303,0.827746,66.52
111.65625,0.73421,0.826515,67.44
112.5,0.73239,0.830841,67.56
112.28125,0.73014,0.832778,68.86
113.53125,0.72595,0.841467,69.39
114.0,0.72254,0.841184,70.52
113.53125,0.71901,0.844309,70.46
112.8125,0.72114,0.843953,70.08
112.96875,0.72056,0.839772,69.99
113.0,0.72124,0.842318,70.97
112.78125,0.71531,0.846883,71.7
111.78125,0.71587,0.845023,71.43
110.25,0.71028,0.853679,72.72
110.75,0.70962,0.853315,72.34
110.875,0.71053,0.852515,72.28
110.8125,0.70661,0.858001,72.33
110.71875,0.70756,0.855066,72.0
